Наименование;Группа видов номеналтуры;Папка видов номенклатуры;Вид номенклатуры;фильтр;Единица хранения;Артикул;Производитель;Поставщик;Товарная категория;Субкатегория;Бренд;Линейка;Сублинейка;Канал;Ценовая группа;Единица измерения веса;Вес;Единица измерения объема;Объем;Единица измерения площади;Площадь;Единица измерения длины;Длина;Ширина;Высота;Импортный товар (учет по ГТД);Единица измерения срока годности;Срок годности;Использовать упаковки;Набор упаковок;Код ТНВЭД;База;Литражи;Цвет (готовый / колеровка);Цвет (если готовый);Степень блеска;Эффект;Стиль;Применение (что красить);Применение (материал);Расход применения, литр/кг на м2;Класс износостойкости;Материал ORAC;Текстовое описание;Ссылка на фото;Высота ворса;Материал ворса;Толщина ворса;Материал ручки;Рабочая ширина;Диаметр ядра;Совместимость/механизм крепления;Тип крепления/диаметр бюгеля/резьбы;Посадка (посадочное место);Тип кромки/лезвия;Покрытие рабочей части;Материал плюша (для валиков);Состав щетины/филамента;Клей/степень адгезии;Адгезия/сила клея (метрика);Время безопасного снятия (нед.);УФ-стойкость;Температурная стойкость;Прозрачность/цветопередача;Прочность на разрыв;Растяжимость/удлинение;Многоразовость;Влагостойкость (да/нет);Совместимость со средой;Сертификация/стандарт;Условия эксплуатации/тип поверхности
Потолочная кисть бук 80x180 мм;Товары;МШИ;Кисти;1;Шт;90610;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;;;;;;мм;180;;;;;;;;;;;;;;;;;;;;;Потолочная щетка с высококачественной светлой синтетической щетиной, закреплённой методом вулканизации, предназначена для равномерного нанесения красок и грунтовок на большие поверхности. Корпус выполнен из прочного пластика, а удобная деревянная ручка обеспечивает надежный хват и комфорт при работе. Отличается износостойкостью и долговечностью.;https://drive.google.com/file/d/17JZ3Gi608qPWssEXF-2fJ3R9P_s7vnxN/view;;;;бук;80;;;;посадка на ручку;;;;синтетика;;;;;;;;;многоразовый;;;;
Валики запасные 18 см;Товары;МШИ;Валики;1;Шт;142418;STORCH GmbH;;МШИ;Валики;Storch;;;PROF;;кг;;;;;;мм;180;;;;;;;;;;;;;;;;;;;;;Профессиональный валик DuraSTAR 21 — это надёжное решение для быстрого и качественного нанесения краски на шероховатые и текстурированные поверхности. Благодаря ворсу высотой 21 мм он легко справляется с крупными порами и неровностями, обеспечивая равномерное покрытие даже при работе с силикатными красками. Безворсовые полиамидные волокна с покрытием LoTex отлично впитывают краску, равномерно распределяют её и при этом легко очищаются. Увеличенный диаметр сердечника 60 мм гарантирует большую дальность прокраса, что делает валик идеальным выбором для масштабных работ по стенам и потолкам.;https://drive.google.com/file/d/16GPpbN4IcTz8M8EP-sTo6VCSRI8mu8C8/view;21;полиамид;;;180;60;;;;;;полиамид;;;;;;;белый с синими полосами;;;;;;;на шероховатые поверхности
Валик запасной 12 см;Товары;МШИ;Валики;1;Шт;155412;STORCH GmbH;;МШИ;Валики;Storch;;;PROF;;кг;;;;;;мм;120;;;;;;;;;;;;;;;;;;;;;Малярный валик UniSTAR proFilt, диаметр стержня 25 мм – компактный инструмент для аккуратного и качественного нанесения краски на поверхности средней площади. Благодаря сердечнику диаметром 30 мм и прочному покрытию LoTeX валик равномерно распределяет краску, не оставляя полос и разводов. Подходит для работы как с водными, так и с красками на основе растворителей. Отличается экономичным расходом, удобством в работе и лёгкой очисткой после использования.;https://drive.google.com/file/d/1RWb0pXNSd2XtzoPf1QObYCFf_6tXqrEr/view;5;;;;120;25;;;;;LoTeX;;;;;;;;белый;;;;;;;
Валик запасной 12 см микрофибра;Товары;МШИ;Валики;1;Шт;155912;STORCH GmbH;;МШИ;Валики;Storch;;;PROF;;кг;;;;;;мм;120;;;;;;;;;;;;;;;;;;;;;Валик для малых площадей AquaSTAR micro, диаметр сердечника 25 мм – удобный инструмент для аккуратного нанесения краски на небольшие поверхности. Микротонкая полиэстеровая нить не оставляет ворса, хорошо захватывает материал и равномерно его распределяет. Особенно эффективен при работе с красками на водной основе и лаками с низкой вязкостью, обеспечивает минимальное разбрызгивание. Валик прочный, легко очищается и идеально подходит для детальной отделки.;https://drive.google.com/file/d/1htO3oVssudNsvL2p0xFc58Wdd3g7f-fh/view;5;;;;120;25;;;;;;микрофибра;;;;;;;белый с серыми пятнами;;;;;;;
Валик запасной 12 см;Товары;МШИ;Валики;1;Шт;158512;STORCH GmbH;;МШИ;Валики;Storch;;;PROF;;кг;;;;;;мм;120;;;;;;;;;;;;;;;;;;;;;Валик для малых площадей DuraSTAR® 12, диаметр сердечника 25 мм – прочный и универсальный инструмент для отделочных работ. Подходит для нанесения красок и лаков на любые поверхности, обеспечивает равномерное покрытие без разводов. Компактный размер удобен для труднодоступных мест и детальной работы.;https://drive.google.com/file/d/1qHdkGbT_qwhhEDkNXqIRhkLMEDB0sw9i/view;12;;;;120;25;;;;;;;;;;;;;белый с синими полосами;;;;;;;на любые поверхности
Рамка 39 см 6 мм для валиков 10–16 см;Товары;МШИ;Валики;1;Шт;159210;STORCH GmbH;;МШИ;Аксессуары;Storch;;;PROF;;кг;;;;;;мм;390;;;;;;;;;;;;;;;;;;;;;Ручка для валика с системой «LOCK-IT» создана для удобной и эргономичной работы. Мягкая двухкомпонентная рукоятка 2K обеспечивает комфортный захват, а прочная проволока из нержавеющей стали гарантирует долговечность и надёжность. Благодаря системе «LOCK-IT» ручка легко, быстро и безопасно фиксируется на телескопической штанге и так же просто снимается, обеспечивая стабильное крепление и удобство при малярных работах.;https://drive.google.com/file/d/1mptjzC8iPqbvcNw4ov_TtfOtalBJNWHH/view;;;;;390;;;диаметр бюгеля 6 мм;;;;;;;;;;;;;;многоразовый;;;;
Сетка для краски 22x25 см, пластик BU;Товары;МШИ;Аксессуары;1;Шт;191318;STORCH GmbH;;МШИ;Аксессуары;Storch;;;PROF;;кг;;;;;;мм;250;;;;;;;;;;;;;;;;;;;;;Решётка для краски из прочного пластика — это лёгкий и удобный инструмент для равномерного распределения краски по валику. Благодаря надёжной конструкции она выдерживает интенсивное использование, легко очищается и обеспечивает аккуратное нанесение без лишних брызг. Отличное решение для работы с любыми видами красок.;https://drive.google.com/file/d/1oWBjdoE9-HxQA2dgiGvfXV__FKow1GDj/view;;;;;220;;;;;;пластик;;;;;;;;синий;;;многоразовый;;;;
Круглая кисть бук, шнур 2x 25 мм;Товары;МШИ;Кисти;1;Шт;21904;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,0381;;;;;мм;25;;;;;;;;;;;;;;;;;;;;;Кольцевая щетка ClassicSTAR – это кисть премиум-класса с прочной синтетической щетиной, которая идеально подходит для нанесения красок на основе растворителя. Она обеспечивает равномерное и контролируемое распределение краски, что особенно важно для финишной отделки. Благодаря качественной обработке, нержавеющей обойме, удобной деревянной ручке и нитенаправителю кисть отличается долговечностью и устойчивостью к износу. Служит значительно дольше, чем кисти из натуральной щетины.;https://drive.google.com/file/d/1BMgLGlxJH3VEM4BQxw-d9VZ3VVJO_E9T/view;2;;;бук;25;;кольцо;кольцо;посадка на ручку;;;;синтетика;;;;;;черно-белый;;;многоразовый;;;;
Круглая кисть бук, шнур 2x 35 мм;Товары;МШИ;Кисти;1;Шт;21908;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,0782;;;;;мм;35;;;;;;;;;;;;;;;;;;;;;Кольцевая щетка ClassicSTAR – это кисть премиум-класса с прочной синтетической щетиной, которая идеально подходит для нанесения красок на основе растворителя. Она обеспечивает равномерное и контролируемое распределение краски, что особенно важно для финишной отделки. Благодаря качественной обработке, нержавеющей обойме, удобной деревянной ручке и нитенаправителю кисть отличается долговечностью и устойчивостью к износу. Служит значительно дольше, чем кисти из натуральной щетины.;https://drive.google.com/file/d/1BMgLGlxJH3VEM4BQxw-d9VZ3VVJO_E9T/view;;;;;;;;;;;;;;;;;;;;;;многоразовый;;;;
Капсульная кисть 25 мм;Товары;МШИ;Кисти;1;Шт;023204F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,061;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Кисть-капсула LasurTOP разработана для равномерного нанесения лессирующих и тонких покрытий.
Изготовлена из высококачественной смеси полиэстеровой и китайской щетины, обеспечивающей оптимальный баланс упругости и мягкости при работе с различными материалами.
Устойчивая к ржавчине капсула и предварительная обвязка гарантируют долговечность и стабильную форму щетины.
Неокрашенная эргономичная ручка из бамбука, сертифицированная FSC®, обеспечивает удобство в использовании и экологичность инструмента.";https://drive.google.com/file/d/1VTUPnVhPoZJv_Oujnk7f1xdvavu2dWxb/view;;комбинированный (смесь полиэстера и китайской щетины);;бамбук;25;;Капсула;Зажим;Посадка на ручку;;;;комбинированный (смесь полиэстера и китайской щетины);;;;;;коричневый;;;многоразовый;;Устойчив к ржавчине;сертификация FSC®;
Капсульная кисть 29 мм;Товары;МШИ;Кисти;1;Шт;023206F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,077;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Кисть-капсула LasurTOP разработана для равномерного нанесения лессирующих и тонких покрытий.
Изготовлена из высококачественной смеси полиэстеровой и китайской щетины, обеспечивающей оптимальный баланс упругости и мягкости при работе с различными материалами.
Устойчивая к ржавчине капсула и предварительная обвязка гарантируют долговечность и стабильную форму щетины.
Неокрашенная эргономичная ручка из бамбука, сертифицированная FSC®, обеспечивает удобство в использовании и экологичность инструмента.";https://drive.google.com/file/d/1VTUPnVhPoZJv_Oujnk7f1xdvavu2dWxb/view;;комбинированный (смесь полиэстера и китайской щетины);;бамбук;29;;Капсула;Зажим;Посадка на ручку;;;;комбинированный (смесь полиэстера и китайской щетины);;;;;;коричневый;;;многоразовый;;Устойчив к ржавчине;сертификация FSC®;
Капсульная кисть 35 мм;Товары;МШИ;Кисти;1;Шт;023208F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,097;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Кисть-капсула LasurTOP разработана для равномерного нанесения лессирующих и тонких покрытий.
Изготовлена из высококачественной смеси полиэстеровой и китайской щетины, обеспечивающей оптимальный баланс упругости и мягкости при работе с различными материалами.
Устойчивая к ржавчине капсула и предварительная обвязка гарантируют долговечность и стабильную форму щетины.
Неокрашенная эргономичная ручка из бамбука, сертифицированная FSC®, обеспечивает удобство в использовании и экологичность инструмента.";https://drive.google.com/file/d/1VTUPnVhPoZJv_Oujnk7f1xdvavu2dWxb/view;;комбинированный (смесь полиэстера и китайской щетины);;бамбук;35;;Капсула;Зажим;Посадка на ручку;;;;комбинированный (смесь полиэстера и китайской щетины);;;;;;коричневый;;;многоразовый;;Устойчив к ржавчине;сертификация FSC®;
Капсульная кисть 25 мм;Товары;МШИ;Кисти;1;Шт;023404F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Капсульная щетка AquaSTAR мягкая — идеальный выбор для деликатных покрасочных и отделочных работ.
Изготовлена из очень тонкой синей синтетической щетины, обеспечивающей мягкое и равномерное нанесение красок на водной основе без разводов.
Устойчивая к ржавчине капсула и защита от ниток гарантируют долговечность и стабильную форму щетины.
Неокрашенная эргономичная ручка из бамбука, сертифицированная FSC®, делает работу комфортной и экологичной.";https://drive.google.com/file/d/1sqNE8jBGrIdqQNEi66-gwlCgCJgNHoAU/view;;синтетика;;бамбук;25;;Капсула;Зажим;Посадка на ручку;;;;синтетика;;;;;;синий;;;многоразовый;;Устойчив к ржавчине;сертификация FSC®;
Капсульная кисть 29 мм;Товары;МШИ;Кисти;1;Шт;023406F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Капсульная щетка AquaSTAR мягкая — идеальный выбор для деликатных покрасочных и отделочных работ.
Изготовлена из очень тонкой синей синтетической щетины, обеспечивающей мягкое и равномерное нанесение красок на водной основе без разводов.
Устойчивая к ржавчине капсула и защита от ниток гарантируют долговечность и стабильную форму щетины.
Неокрашенная эргономичная ручка из бамбука, сертифицированная FSC®, делает работу комфортной и экологичной.";https://drive.google.com/file/d/1sqNE8jBGrIdqQNEi66-gwlCgCJgNHoAU/view;;синтетика;;бамбук;29;;Капсула;Зажим;Посадка на ручку;;;;синтетика;;;;;;синий;;;многоразовый;;Устойчив к ржавчине;сертификация FSC®;
Плоская кисть 12 рядов 40 мм;Товары;МШИ;Кисти;1;Шт;41140;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,0665;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Кисть изготовлена из отборной, дважды проваренной чёрной китайской щетины с добавлением синтетического ворса для стабильной формы и долговечности. Прочный ободок устойчив к ржавчине, а удобная нелакированная деревянная ручка обеспечивает комфортную работу и надежный хват.;https://drive.google.com/file/d/1ZJQVDxIK5_JScgiiSQRtP_7TxqHcgn_A/view;;синтетика;12;твердая древесина;40;;Хвостовик;Зажим;Посадка на ручку;;;;синтетика;;;;;;;;;многоразовый;да;Влагостойкий;;
Плоская кисть 12 рядов 50 мм;Товары;МШИ;Кисти;1;Шт;41150;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,086;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Кисть изготовлена из отборной, дважды проваренной чёрной китайской щетины с добавлением синтетического ворса для стабильной формы и долговечности. Прочный ободок устойчив к ржавчине, а удобная нелакированная деревянная ручка обеспечивает комфортную работу и надежный хват.;https://drive.google.com/file/d/1ZJQVDxIK5_JScgiiSQRtP_7TxqHcgn_A/view;;синтетика;12;твердая древесина;50;;Хвостовик;Зажим;Посадка на ручку;;;;синтетика;;;;;;;;;многоразовый;да;Влагостойкий;;
Плоская кисть 12 рядов 60 мм;Товары;МШИ;Кисти;1;Шт;41165;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,109;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Кисть изготовлена из отборной, дважды проваренной чёрной китайской щетины с добавлением синтетического ворса для стабильной формы и долговечности. Прочный ободок устойчив к ржавчине, а удобная нелакированная деревянная ручка обеспечивает комфортную работу и надежный хват.;https://drive.google.com/file/d/1ZJQVDxIK5_JScgiiSQRtP_7TxqHcgn_A/view;;синтетика;12;твердая древесина;60;;Хвостовик;Зажим;Посадка на ручку;;;;синтетика;;;;;;;;;многоразовый;да;Влагостойкий;;
Плоская кисть 9 рядов 30 мм;Товары;МШИ;Кисти;1;Шт;041625F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,052;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Плоская кисть ClassicTOP — надёжный инструмент для ровного и аккуратного нанесения краски.
Изготовлена из высококачественной лёгкой синтетической щетины, обеспечивающей равномерное распределение материала и гладкий финиш без следов.
Прочный латунный наконечник устойчив к коррозии, а неокрашенная бамбуковая ручка, сертифицированная FSC®, обеспечивает комфортное использование и экологичность.
Идеально подходит для точных покрасочных и отделочных работ.";https://drive.google.com/file/d/1WmIjRunOlQ24r5ry0iOV4anz59EwTl37/view;;;9;бамбук;30;;Хвостовик;Зажим;;;;;синтетика;;;;;;;;;многоразовый;;;сертификация FSC®;
Плоская кисть 9 рядов 40 мм;Товары;МШИ;Кисти;1;Шт;041640F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,074;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Плоская кисть ClassicTOP — надёжный инструмент для ровного и аккуратного нанесения краски.
Изготовлена из высококачественной лёгкой синтетической щетины, обеспечивающей равномерное распределение материала и гладкий финиш без следов.
Прочный латунный наконечник устойчив к коррозии, а неокрашенная бамбуковая ручка, сертифицированная FSC®, обеспечивает комфортное использование и экологичность.
Идеально подходит для точных покрасочных и отделочных работ.";https://drive.google.com/file/d/1WmIjRunOlQ24r5ry0iOV4anz59EwTl37/view;;;9;бамбук;40;;Хвостовик;Зажим;;;;;синтетика;;;;;;;;;многоразовый;;;сертификация FSC®;
Плоская кисть 9 рядов 50 мм;Товары;МШИ;Кисти;1;Шт;041650F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,087;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Плоская кисть ClassicTOP — надёжный инструмент для ровного и аккуратного нанесения краски.
Изготовлена из высококачественной лёгкой синтетической щетины, обеспечивающей равномерное распределение материала и гладкий финиш без следов.
Прочный латунный наконечник устойчив к коррозии, а неокрашенная бамбуковая ручка, сертифицированная FSC®, обеспечивает комфортное использование и экологичность.
Идеально подходит для точных покрасочных и отделочных работ.";https://drive.google.com/file/d/1WmIjRunOlQ24r5ry0iOV4anz59EwTl37/view;;;9;бамбук;50;;Хвостовик;Зажим;;;;;синтетика;;;;;;;;;многоразовый;;;сертификация FSC®;
Плоская кисть 9 рядов 60 мм;Товары;МШИ;Кисти;1;Шт;041665F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,105;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Плоская кисть ClassicTOP — надёжный инструмент для ровного и аккуратного нанесения краски.
Изготовлена из высококачественной лёгкой синтетической щетины, обеспечивающей равномерное распределение материала и гладкий финиш без следов.
Прочный латунный наконечник устойчив к коррозии, а неокрашенная бамбуковая ручка, сертифицированная FSC®, обеспечивает комфортное использование и экологичность.
Идеально подходит для точных покрасочных и отделочных работ.";https://drive.google.com/file/d/1WmIjRunOlQ24r5ry0iOV4anz59EwTl37/view;;;9;бамбук;60;;Хвостовик;Зажим;;;;;синтетика;;;;;;;;;многоразовый;;;сертификация FSC®;
Плоская кисть 9 рядов 80 мм;Товары;МШИ;Кисти;1;Шт;041675F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,146;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Плоская кисть ClassicTOP — надёжный инструмент для ровного и аккуратного нанесения краски.
Изготовлена из высококачественной лёгкой синтетической щетины, обеспечивающей равномерное распределение материала и гладкий финиш без следов.
Прочный латунный наконечник устойчив к коррозии, а неокрашенная бамбуковая ручка, сертифицированная FSC®, обеспечивает комфортное использование и экологичность.
Идеально подходит для точных покрасочных и отделочных работ.";https://drive.google.com/file/d/1WmIjRunOlQ24r5ry0iOV4anz59EwTl37/view;;;9;бамбук;80;;Хвостовик;Зажим;;;;;синтетика;;;;;;;;;многоразовый;;;сертификация FSC®;
Плоская кисть 12 рядов 30 мм;Товары;МШИ;Кисти;1;Шт;041830F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,05;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть ClassicSTAR изготовлена из премиальной чёрно-белой синтетической щетины, обеспечивающей ровное и качественное нанесение красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® гарантирует удобный и экологичный хват.;https://drive.google.com/file/d/1lwYNostLuSt4o8314x-4LVpUm0nbbEKu/view;;;;бамбук;30;;Хвостовик;Зажим;;;;;синтетика;;;;;;черно-белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 40 мм;Товары;МШИ;Кисти;1;Шт;041840F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть ClassicSTAR изготовлена из премиальной чёрно-белой синтетической щетины, обеспечивающей ровное и качественное нанесение красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® гарантирует удобный и экологичный хват.;https://drive.google.com/file/d/1lwYNostLuSt4o8314x-4LVpUm0nbbEKu/view;;;;бамбук;40;;Хвостовик;Зажим;;;;;синтетика;;;;;;черно-белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 50 мм;Товары;МШИ;Кисти;1;Шт;041850F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,08;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть ClassicSTAR изготовлена из премиальной чёрно-белой синтетической щетины, обеспечивающей ровное и качественное нанесение красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® гарантирует удобный и экологичный хват.;https://drive.google.com/file/d/1lwYNostLuSt4o8314x-4LVpUm0nbbEKu/view;;;;бамбук;50;;Хвостовик;зажим;;;;;синтетика;;;;;;черно-белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 60 мм;Товары;МШИ;Кисти;1;Шт;041860F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть ClassicSTAR изготовлена из премиальной чёрно-белой синтетической щетины, обеспечивающей ровное и качественное нанесение красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® гарантирует удобный и экологичный хват.;https://drive.google.com/file/d/1lwYNostLuSt4o8314x-4LVpUm0nbbEKu/view;;;;бамбук;40;;Хвостовик;Зажим;;;;;синтетика;;;;;;черно-белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 75 мм;Товары;МШИ;Кисти;1;Шт;041875F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,184;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть ClassicSTAR изготовлена из премиальной чёрно-белой синтетической щетины, обеспечивающей ровное и качественное нанесение красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® гарантирует удобный и экологичный хват.;https://drive.google.com/file/d/1lwYNostLuSt4o8314x-4LVpUm0nbbEKu/view;;;;бамбук;75;;Хвостовик;Зажим;;;;;синтетика;;;;;;черно-белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 40 мм;Товары;МШИ;Кисти;1;Шт;041940F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,6;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть AquaSTAR изготовлена из премиальной синтетической щетины синего и белого цвета для равномерного и аккуратного нанесения красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® обеспечивает удобный и экологичный хват.;https://drive.google.com/file/d/1BDkcO-AysSKyMIQp5vwv9_XCX_3suRwe/view;;;;бамбук;40;;Хвостовик;Зажим;;;;;синтетика;;;;;;синий и белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 60 мм;Товары;МШИ;Кисти;1;Шт;041960F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,146;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть AquaSTAR изготовлена из премиальной синтетической щетины синего и белого цвета для равномерного и аккуратного нанесения красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® обеспечивает удобный и экологичный хват.;https://drive.google.com/file/d/1BDkcO-AysSKyMIQp5vwv9_XCX_3suRwe/view;;;;бамбук;60;;Хвостовик;Зажим;;;;;синтетика;;;;;;синий и белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 12 рядов 75 мм;Товары;МШИ;Кисти;1;Шт;041975F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,187;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть AquaSTAR изготовлена из премиальной синтетической щетины синего и белого цвета для равномерного и аккуратного нанесения красок. Корпус выполнен из пластика, устойчивого к разбуханию, а неокрашенная бамбуковая ручка FSC® обеспечивает удобный и экологичный хват.;https://drive.google.com/file/d/1BDkcO-AysSKyMIQp5vwv9_XCX_3suRwe/view;;;;бамбук;75;;Хвостовик;Зажим;;;;;синтетика;;;;;;синий и белый;;;многоразовый;да;Устойчив к разбуханию;сертификация FSC®;
Плоская кисть 9 рядов 80 мм;Товары;МШИ;Кисти;1;Шт;042080F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;1,04;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть AquaTOP оснащена специальной синтетической щетиной с тонкими, заостренными кончиками синего цвета, обеспечивающей превосходное покрытие. Идеально подходит для всех красок и лаков на водной основе. Кисть оснащена латунным ободком и неокрашенной бамбуковой ручкой FSC®, удобной и экологичной.;https://drive.google.com/file/d/1MQtnVuTezfp3eVWOE2ZKcemUUAcdNlRR/view;;;;бамбук;80;;Хвостовик;Зажим;;;;;синтетика;;;;;;синий;;;многоразовый;;;сертификация FSC®;
Плоская кисть 12 рядов 50 мм;Товары;МШИ;Кисти;1;Шт;42250;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,1158;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть LasurSTAR позволяет наносить глазурь ровно и аккуратно, без разводов и подтеков. Сочетание натуральной и синтетической щетины обеспечивает отличное впитывание и равномерное распределение краски, что делает её идеальной для дверей, деревянных панелей и деликатных поверхностей. Эргономичная форма ручки гарантирует комфорт и точность при работе, снижая усталость даже при длительном использовании.;https://drive.google.com/file/d/1udjSiCO4SdZp4GG6oydte1i87I6igsXC/view;;;;твердая древесина;50;;Хвостовик;хвостовик;Посадка на ручку;;;;синтетика;;;;;;;;;многоразовый;;;;
Плоская кисть 12 рядов 75 мм;Товары;МШИ;Кисти;1;Шт;42275;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,1739;;;;;мм;;;;;;;;;;;;;;;;;;;;;;Плоская кисть LasurSTAR позволяет наносить глазурь ровно и аккуратно, без разводов и подтеков. Сочетание натуральной и синтетической щетины обеспечивает отличное впитывание и равномерное распределение краски, что делает её идеальной для дверей, деревянных панелей и деликатных поверхностей. Эргономичная форма ручки гарантирует комфорт и точность при работе, снижая усталость даже при длительном использовании.;https://drive.google.com/file/d/1udjSiCO4SdZp4GG6oydte1i87I6igsXC/view;;;;твердая древесина;75;;Хвостовик;хвостовик;Посадка на ручку;;;;синтетика;;;;;;;;;многоразовый;;;;
Плоская кисть 12 рядов 50 мм;Товары;МШИ;Кисти;1;Шт;042550F;STORCH GmbH;;МШИ;Кисти;Storch;;;PROF;;кг;0,108;;;;;мм;;;;;;;;;;;;;;;;;;;;;;"Мягкая плоская кисть AquaSTAR создана для идеального нанесения тонких красок на водной основе, обеспечивая безупречно гладкую поверхность без разводов.
Эргономичная неокрашенная ручка из сертифицированного бамбука FSC® гарантирует удобство и долговечность.
Тонкие синие конические щетинки из мягкой синтетики обеспечивают равномерное нанесение и идеально подходят для смешивания красок.
Благодаря большому объему ворса кисть эффективно впитывает краску и обеспечивает её контролируемый расход, позволяя добиться профессионального результата на больших поверхностях.";https://drive.google.com/file/d/1MDG0bH-wopV4KJcfXPzFIWHVw0E7kGRm/view;;;;бамбук;50;;Пластиковая оправа;Пластиковая оправа;Посадка на ручку;;;;синтетика;;;;;;синий;;;многоразовый;;;сертификация FSC®;
